MasterIndex,Patent,IssueDate,AppDate,OrigAppDate,ReissueOf,Renewal,Continuation,Division,Class,Subclass,OtherClasses,IPCCodes,Claims,NumInventors,FirstInventor,InvCity,InvState,InvCountry,Assignee,AssCity,AssState,AssCountry,NumRefs,NumUSRefs,NumUtilityRefs,NumDesignRefs,NumPlantRefs,NumReissueRefs,NumForReferences,OCPDate,MCPDate,USPQDocketNum,DJ,PatDef,DCPub,DCEdition,DCVolume,DCPage,DCNumPatents,DCDecision,DCState,District,CAFCEra,DistDate,Patentee,AllegInf,AllegInf2,ACPub,ACEdition,ACVolume,ACPage,ACNumPatents,FirstAC,ACDate,Affirmed,ACDecision,DC2ndDecDate,DC2ndCite,DC2ndDec,AC2ndDecDate,AC2ndCite,AC2ndDecision
1,609154,8/16/1898,2/1/1898,2/1/1898,na,0,0,0,178,116,315/243; 315/283; 315/34; 315/45; 315/62; 343/747; 343/750; 343/752; 343/807; 343/824; 343/825,na,9,1,"Lodge, Oliver Joseph",Liverpool,na,GB,none,na,na,omitted,na,na,na,na,na,na,na,na,na,33642,0,0,1,1,27,234,4,V&I,na,USCC,0,11/4/35,Marconi Wireless Telegraph Co. of America,United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2,708780,9/9/02,2/13/00,2/13/00,na,0,0,0,415,78,29/23.51,F01D,4,1,"Parsons, Charles Algernon",Newcastle-upon-Tyne,na,GB,none,na,na,omitted,na,na,na,na,na,na,na,na,na,D-503,0,0,1,1,15,161,5,NINF,na,USCC,0,11/14/32,"Executors of the estate of Charles Algernon Parsons, and Parsons Marine Steam Turbine Co., Ltd.",The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
3,727330,5/5/03,3/21/03,3/21/03,na,0,0,0,375,272,335/180,na,19,1,"Fessenden, Reginald A.",Fort Monroe,VA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,C-36,0,0,1,1,16,142,4,INV,na,USCC,0,1/9/33,National Electric Signaling Co. and International Devices Co.,The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,763772,6/28/04,11/10/00,11/10/00,na,0,0,0,178,116,none,na,20,1,"Marconi, Guglielmo",London,na,GB,"Marconts Wireless Telegraph Company, Limited",London,na,GB,na,na,na,na,na,na,na,na,na,33642,0,0,1,1,27,234,4,V&I,na,USCC,0,11/4/35,Marconi Wireless Telegraph Co. of America,United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
5,769272,9/6/04,6/27/02,6/27/02,na,0,0,0,415,61,415/144,na,5,1,"Parsons, Charles Algernon",Newcastle-upon-Tyne,na,GB,none,na,na,omitted,na,na,na,na,na,na,na,na,na,D-503,0,0,1,1,15,161,5,INV,na,USCC,0,11/14/32,"Executors of the estate of Charles Algernon Parsons, and Parsons Marine Steam Turbine Co., Ltd.",The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6,790744,5/23/05,9/19/04,9/19/04,na,0,0,0,277,431,none,F16J,4,1,"Parsons, Charles Algernon",Newcastle-upon-Tyne,na,GB,none,na,na,omitted,na,na,na,na,na,na,na,na,na,D-503,0,0,1,1,15,161,5,INV,na,USCC,0,11/14/32,"Executors of the estate of Charles Algernon Parsons, and Parsons Marine Steam Turbine Co., Ltd.",The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
7,803684,11/7/05,4/19/05,4/19/05,na,0,0,0,329,370,313/310; 313/327; 313/356; 315/190,H03D,37,1,"Fleming, John Ambrose",London,na,GB,Marconts Wireless Telegraph Company of America,na,na,omitted,na,na,na,na,na,na,na,na,na,33642,0,0,1,1,27,234,4,INV,na,USCC,0,11/4/35,Marconi Wireless Telegraph Co. of America,United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
8,827351,7/31/06,4/3/06,4/3/06,na,0,0,0,109,26,109/64,A62C; F41H,6,1,"Ely, Sumner A.",Yonkers,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,NY,SD,0,unknown,Ely Norris Safe Co.,Mosler Safe Co.,none,1,1,16,328,2,2,1/9/33,0,rev(NINF),na,na,na,na,na,na
9,858188,6/25/07,9/22/06,9/22/06,na,0,0,0,169,76,169/80; 252/6.5,A62C,7,1,"Laurent, Alexandre G.",St. Petersburg,na,RU,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,NINF,DE,na,0,unknown,Foamite-Childs Corp.,Pyrene Manufacturing Co.,none,1,1,3,90,1,3,10/8/29,1,affirmed,na,na,na,na,na,na
10,858206,6/25/07,8/6/06,8/6/06,na,0,0,0,416,198R,none,F01D,3,1,"Parsons, Charles Algernon",Newcastle-upon-Tyne,na,GB,none,na,na,omitted,na,na,na,na,na,na,na,na,na,D-503,0,0,1,1,15,161,5,INV,na,USCC,0,11/14/32,"Executors of the estate of Charles Algernon Parsons, and Parsons Marine Steam Turbine Co., Ltd.",The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
11,858875,7/2/07,1/18/07,1/18/07,na,0,0,0,135,97,135/120.2; 135/87; 135/908,E04H,6,1,"Knabenshue, Roy",Toledo,OH,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,K-22,0,0,1,1,32,612,1,INV,na,USCC,0,3/1/37,A. Roy Knabenshue,The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
